type,name,code
NASDAQ Equity,Denali Therapeutics Inc. (DNLI),DNLI
NASDAQ Equity,Denny&#39;s Corporation (DENN),DENN
NASDAQ Equity,DENTSPLY SIRONA Inc. (XRAY),XRAY
NASDAQ Equity,"Dermira, Inc. (DERM)",DERM
NASDAQ Equity,Destination Maternity Corporation (DEST),DEST
NASDAQ Equity,"Destination XL Group, Inc. (DXLG)",DXLG
NASDAQ Equity,"Deswell Industries, Inc. (DSWL)",DSWL
NASDAQ Equity,"DexCom, Inc. (DXCM)",DXCM
NASDAQ Equity,DFB Healthcare Acquisitions Corp. (DFBH),DFBH
NASDAQ Equity,DFB Healthcare Acquisitions Corp. (DFBHU),DFBHU
NASDAQ Equity,DFB Healthcare Acquisitions Corp. (DFBHW),DFBHW
NASDAQ Equity,DHX Media Ltd. (DHXM),DHXM
NASDAQ Equity,DiaMedica Therapeutics Inc. (DMAC),DMAC
NASDAQ Equity,Diamond Eagle Acquisition Corp. (DEACU),DEACU
NASDAQ Equity,"Diamond Hill Investment Group, Inc. (DHIL)",DHIL
NASDAQ Equity,"Diamondback Energy, Inc. (FANG)",FANG
NASDAQ Equity,DiamondPeak Holdings Corp. (DPHC),DPHC
NASDAQ Equity,DiamondPeak Holdings Corp. (DPHCU),DPHCU
NASDAQ Equity,DiamondPeak Holdings Corp. (DPHCW),DPHCW
NASDAQ Equity,"Dicerna Pharmaceuticals, Inc. (DRNA)",DRNA
NASDAQ Equity,Diffusion Pharmaceuticals Inc. (DFFN),DFFN
NASDAQ Equity,Digi International Inc. (DGII),DGII
NASDAQ Equity,Digimarc Corporation (DMRC),DMRC
NASDAQ Equity,Digirad Corporation (DRAD),DRAD
NASDAQ Equity,"Digital Ally, Inc. (DGLY)",DGLY
NASDAQ Equity,"Digital Turbine, Inc. (APPS)",APPS
NASDAQ Equity,"Dime Community Bancshares, Inc. (DCOM)",DCOM
NASDAQ Equity,Diodes Incorporated (DIOD),DIOD
NASDAQ Equity,"Discovery, Inc. (DISCA)",DISCA
NASDAQ Equity,"Discovery, Inc. (DISCB)",DISCB
NASDAQ Equity,"Discovery, Inc. (DISCK)",DISCK
NASDAQ Equity,DISH Network Corporation (DISH),DISH
NASDAQ Equity,Diversicare Healthcare Services Inc. (DVCR),DVCR
NASDAQ Equity,"Diversified Restaurant Holdings, Inc. (SAUC)",SAUC
NASDAQ Equity,DLH Holdings Corp. (DLHC),DLHC
NASDAQ Equity,DMC Global Inc. (BOOM),BOOM
NASDAQ Equity,DNB Financial Corp (DNBF),DNBF
NASDAQ Equity,"DocuSign, Inc. (DOCU)",DOCU
NASDAQ Equity,Dogness (International) Corporation (DOGZ),DOGZ
NASDAQ Equity,"Dollar Tree, Inc. (DLTR)",DLTR
NASDAQ Equity,"Dolphin Entertainment, Inc. (DLPN)",DLPN
NASDAQ Equity,"Dolphin Entertainment, Inc. (DLPNW)",DLPNW
NASDAQ Equity,"Domo, Inc. (DOMO)",DOMO
NASDAQ Equity,"Donegal Group, Inc. (DGICA)",DGICA
NASDAQ Equity,"Donegal Group, Inc. (DGICB)",DGICB
NASDAQ Equity,"Dorchester Minerals, L.P. (DMLP)",DMLP
NASDAQ Equity,"Dorman Products, Inc. (DORM)",DORM
NASDAQ Equity,"Dova Pharmaceuticals, Inc. (DOVA)",DOVA
NASDAQ Equity,Dragon Victory International Limited (LYL),LYL
NASDAQ Equity,"Dropbox, Inc. (DBX)",DBX
NASDAQ Equity,"DropCar, Inc. (DCAR)",DCAR
NASDAQ Equity,DryShips Inc. (DRYS),DRYS
NASDAQ Equity,"DSP Group, Inc. (DSPG)",DSPG
NASDAQ Equity,Duluth Holdings Inc. (DLTH),DLTH
NASDAQ Equity,"Dunkin&#39; Brands Group, Inc. (DNKN)",DNKN
NASDAQ Equity,DURECT Corporation (DRRX),DRRX
NASDAQ Equity,"DXP Enterprises, Inc. (DXPE)",DXPE
NASDAQ Equity,"Dyadic International, Inc. (DYAI)",DYAI
NASDAQ Equity,Dynasil Corporation of America (DYSL),DYSL
NASDAQ Equity,Dynatronics Corporation (DYNT),DYNT
NASDAQ Equity,Dynavax Technologies Corporation (DVAX),DVAX
NASDAQ Equity,E*TRADE Financial Corporation (ETFC),ETFC
NASDAQ Equity,E.W. Scripps Company (The) (SSP),SSP
NASDAQ Equity,"Eagle Bancorp Montana, Inc. (EBMT)",EBMT
NASDAQ Equity,"Eagle Bancorp, Inc. (EGBN)",EGBN
NASDAQ Equity,Eagle Bulk Shipping Inc. (EGLE),EGLE
NASDAQ Equity,"Eagle Financial Bancorp, Inc. (EFBI)",EFBI
NASDAQ Equity,"Eagle Pharmaceuticals, Inc. (EGRX)",EGRX
NASDAQ Equity,"East West Bancorp, Inc. (EWBC)",EWBC
NASDAQ Equity,Eastern Company (The) (EML),EML
NASDAQ Equity,"Eastside Distilling, Inc. (EAST)",EAST
NASDAQ Equity,Eaton Vance NextShares Trust (EVGBC),EVGBC
NASDAQ Equity,Eaton Vance NextShares Trust (EVSTC),EVSTC
NASDAQ Equity,Eaton Vance NextShares Trust II (EVFTC),EVFTC
NASDAQ Equity,Eaton Vance NextShares Trust II (EVLMC),EVLMC
NASDAQ Equity,Eaton Vance NextShares Trust II (OKDCC),OKDCC
NASDAQ Equity,eBay Inc. (EBAY),EBAY
NASDAQ Equity,eBay Inc. (EBAYL),EBAYL
NASDAQ Equity,"Ebix, Inc. (EBIX)",EBIX
NASDAQ Equity,"Echo Global Logistics, Inc. (ECHO)",ECHO
NASDAQ Equity,EchoStar Corporation (SATS),SATS
NASDAQ Equity,"Ecology and Environment, Inc. (EEI)",EEI
NASDAQ Equity,EDAP TMS S.A. (EDAP),EDAP
NASDAQ Equity,"Edesa Biotech, Inc. (EDSA)",EDSA
NASDAQ Equity,"Edison Nation, Inc. (EDNT)",EDNT
NASDAQ Equity,"Editas Medicine, Inc. (EDIT)",EDIT
NASDAQ Equity,EdtechX Holdings Acquisition Corp. (EDTX),EDTX
NASDAQ Equity,EdtechX Holdings Acquisition Corp. (EDTXU),EDTXU
NASDAQ Equity,EdtechX Holdings Acquisition Corp. (EDTXW),EDTXW
NASDAQ Equity,Educational Development Corporation (EDUC),EDUC
NASDAQ Equity,eGain Corporation (EGAN),EGAN
NASDAQ Equity,"eHealth, Inc. (EHTH)",EHTH
NASDAQ Equity,"Eidos Therapeutics, Inc. (EIDX)",EIDX
NASDAQ Equity,"Eiger BioPharmaceuticals, Inc. (EIGR)",EIGR
NASDAQ Equity,"Ekso Bionics Holdings, Inc. (EKSO)",EKSO
NASDAQ Equity,"El Pollo Loco Holdings, Inc. (LOCO)",LOCO
NASDAQ Equity,Elbit Systems Ltd. (ESLT),ESLT
NASDAQ Equity,"Eldorado Resorts, Inc. (ERI)",ERI
NASDAQ Equity,Electrameccanica Vehicles Corp. Ltd. (SOLO),SOLO
NASDAQ Equity,Electrameccanica Vehicles Corp. Ltd. (SOLOW),SOLOW
NASDAQ Equity,"electroCore, Inc. (ECOR)",ECOR
NASDAQ Equity,Electronic Arts Inc. (EA),EA
NASDAQ Equity,"Electronics for Imaging, Inc. (EFII)",EFII
NASDAQ Equity,"Electro-Sensors, Inc. (ELSE)",ELSE
NASDAQ Equity,Elmira Savings Bank NY (The) (ESBK),ESBK
NASDAQ Equity,"Eloxx Pharmaceuticals, Inc. (ELOX)",ELOX
NASDAQ Equity,Eltek Ltd. (ELTK),ELTK
NASDAQ Equity,EMC Insurance Group Inc. (EMCI),EMCI
NASDAQ Equity,Emclaire Financial Corp (EMCF),EMCF
NASDAQ Equity,EMCORE Corporation (EMKR),EMKR
NASDAQ Equity,Emmis Communications Corporation (EMMS),EMMS
NASDAQ Equity,"Empire Resorts, Inc. (NYNY)",NYNY
NASDAQ Equity,"Enanta Pharmaceuticals, Inc. (ENTA)",ENTA
NASDAQ Equity,Encore Capital Group Inc (ECPG),ECPG
NASDAQ Equity,Encore Wire Corporation (WIRE),WIRE
NASDAQ Equity,Endo International plc (ENDP),ENDP
NASDAQ Equity,"Endologix, Inc. (ELGX)",ELGX
NASDAQ Equity,ENDRA Life Sciences Inc. (NDRA),NDRA
NASDAQ Equity,ENDRA Life Sciences Inc. (NDRAW),NDRAW
NASDAQ Equity,"Endurance International Group Holdings, Inc. (EIGI)",EIGI
NASDAQ Equity,Energous Corporation (WATT),WATT
NASDAQ Equity,"Energy Focus, Inc. (EFOI)",EFOI
NASDAQ Equity,"Energy Recovery, Inc. (ERII)",ERII
NASDAQ Equity,ENGlobal Corporation (ENG),ENG
NASDAQ Equity,Enlivex Therapeutics Ltd. (ENLV),ENLV
NASDAQ Equity,"Enochian Biosciences, Inc. (ENOB)",ENOB
NASDAQ Equity,"Enphase Energy, Inc. (ENPH)",ENPH
NASDAQ Equity,Enstar Group Limited (ESGR),ESGR
NASDAQ Equity,Enstar Group Limited (ESGRO),ESGRO
NASDAQ Equity,Enstar Group Limited (ESGRP),ESGRP
NASDAQ Equity,Entasis Therapeutics Holdings Inc. (ETTX),ETTX
NASDAQ Equity,Entegra Financial Corp. (ENFC),ENFC
NASDAQ Equity,"Entegris, Inc. (ENTG)",ENTG
NASDAQ Equity,Entera Bio Ltd. (ENTX),ENTX
NASDAQ Equity,Entera Bio Ltd. (ENTXW),ENTXW
NASDAQ Equity,Enterprise Bancorp Inc (EBTC),EBTC
NASDAQ Equity,Enterprise Financial Services Corporation (EFSC),EFSC
NASDAQ Equity,"Envision Solar International, Inc. (EVSI)",EVSI
NASDAQ Equity,"Envision Solar International, Inc. (EVSIW)",EVSIW
NASDAQ Equity,"Epizyme, Inc. (EPZM)",EPZM
NASDAQ Equity,ePlus inc. (PLUS),PLUS
NASDAQ Equity,Epsilon Energy Ltd. (EPSN),EPSN
NASDAQ Equity,"Equillium, Inc. (EQ)",EQ
NASDAQ Equity,"Equinix, Inc. (EQIX)",EQIX
NASDAQ Equity,"Equity Bancshares, Inc. (EQBK)",EQBK
NASDAQ Equity,Ericsson (ERIC),ERIC
NASDAQ Equity,Erie Indemnity Company (ERIE),ERIE
NASDAQ Equity,Erytech Pharma S.A. (ERYP),ERYP
NASDAQ Equity,"Escalade, Incorporated (ESCA)",ESCA
NASDAQ Equity,"Esperion Therapeutics, Inc. (ESPR)",ESPR
NASDAQ Equity,"Esquire Financial Holdings, Inc. (ESQ)",ESQ
NASDAQ Equity,"ESSA Bancorp, Inc. (ESSA)",ESSA
NASDAQ Equity,ESSA Pharma Inc. (EPIX),EPIX
NASDAQ Equity,Establishment Labs Holdings Inc. (ESTA),ESTA
NASDAQ Equity,"Estre Ambiental, Inc. (ESTR)",ESTR
NASDAQ Equity,"Estre Ambiental, Inc. (ESTRW)",ESTRW
NASDAQ Equity,ETF Series Solutions Trust Vident Core U.S. Bond Strategy Fund (VBND),VBND
NASDAQ Equity,ETF Series Solutions Trust Vident Core US Equity ETF (VUSE),VUSE
NASDAQ Equity,ETF Series Solutions Trust Vident International Equity Fund (VIDI),VIDI
NASDAQ Equity,"Eton Pharmaceuticals, Inc. (ETON)",ETON
NASDAQ Equity,"Etsy, Inc. (ETSY)",ETSY
NASDAQ Equity,Euro Tech Holdings Company Limited (CLWT),CLWT
NASDAQ Equity,EuroDry Ltd. (EDRY),EDRY
NASDAQ Equity,"Euronet Worldwide, Inc. (EEFT)",EEFT
NASDAQ Equity,Euroseas Ltd. (ESEA),ESEA
NASDAQ Equity,"Evelo Biosciences, Inc. (EVLO)",EVLO
NASDAQ Equity,"Everbridge, Inc. (EVBG)",EVBG
NASDAQ Equity,"Ever-Glory International Group, Inc. (EVK)",EVK
NASDAQ Equity,"EverQuote, Inc. (EVER)",EVER
NASDAQ Equity,"Everspin Technologies, Inc. (MRAM)",MRAM
NASDAQ Equity,EVINE Live Inc. (EVLV),EVLV
NASDAQ Equity,"EVO Payments, Inc. (EVOP)",EVOP
NASDAQ Equity,"Evofem Biosciences, Inc. (EVFM)",EVFM
NASDAQ Equity,Evogene Ltd. (EVGN),EVGN
NASDAQ Equity,"Evoke Pharma, Inc. (EVOK)",EVOK
NASDAQ Equity,"Evolus, Inc. (EOLS)",EOLS
NASDAQ Equity,"Evolving Systems, Inc. (EVOL)",EVOL
NASDAQ Equity,Exact Sciences Corporation (EXAS),EXAS
NASDAQ Equity,Exchange Traded Concepts Trust FLAG-Forensic Accounting Long-S (FLAG),FLAG
NASDAQ Equity,Exchange Traded Concepts Trust ROBO Global Robotics and Automa (ROBO),ROBO
NASDAQ Equity,"Exela Technologies, Inc. (XELA)",XELA
NASDAQ Equity,"Exelixis, Inc. (EXEL)",EXEL
NASDAQ Equity,EXFO Inc (EXFO),EXFO
NASDAQ Equity,"ExlService Holdings, Inc. (EXLS)",EXLS
NASDAQ Equity,"eXp World Holdings, Inc. (EXPI)",EXPI
NASDAQ Equity,"Expedia Group, Inc. (EXPE)",EXPE
NASDAQ Equity,"Expeditors International of Washington, Inc. (EXPD)",EXPD
NASDAQ Equity,"Exponent, Inc. (EXPO)",EXPO
NASDAQ Equity,"Extended Stay America, Inc. (STAY)",STAY
NASDAQ Equity,"Extraction Oil & Gas, Inc. (XOG)",XOG
NASDAQ Equity,"Extreme Networks, Inc. (EXTR)",EXTR
NASDAQ Equity,"Eyegate Pharmaceuticals, Inc. (EYEG)",EYEG
NASDAQ Equity,"Eyegate Pharmaceuticals, Inc. (EYEGW)",EYEGW
NASDAQ Equity,"Eyenovia, Inc. (EYEN)",EYEN
NASDAQ Equity,"EyePoint Pharmaceuticals, Inc. (EYPT)",EYPT
NASDAQ Equity,"EZCORP, Inc. (EZPW)",EZPW
NASDAQ Equity,"F5 Networks, Inc. (FFIV)",FFIV
NASDAQ Equity,"Facebook, Inc. (FB)",FB
NASDAQ Equity,Falcon Minerals Corporation (FLMN),FLMN
NASDAQ Equity,Falcon Minerals Corporation (FLMNW),FLMNW
NASDAQ Equity,"Famous Dave&#39;s of America, Inc. (DAVE)",DAVE
NASDAQ Equity,Fanhua Inc. (FANH),FANH
NASDAQ Equity,Farmer Brothers Company (FARM),FARM
NASDAQ Equity,"Farmers & Merchants Bancorp, Inc. (FMAO)",FMAO
NASDAQ Equity,Farmers National Banc Corp. (FMNB),FMNB
NASDAQ Equity,"FARMMI, INC. (FAMI)",FAMI
NASDAQ Equity,"FARO Technologies, Inc. (FARO)",FARO
NASDAQ Equity,Fastenal Company (FAST),FAST
NASDAQ Equity,FAT Brands Inc. (FAT),FAT
NASDAQ Equity,"Fate Therapeutics, Inc. (FATE)",FATE
NASDAQ Equity,"Fauquier Bankshares, Inc. (FBSS)",FBSS
NASDAQ Equity,FedNat Holding Company (FNHC),FNHC
NASDAQ Equity,Fennec Pharmaceuticals Inc. (FENC),FENC
NASDAQ Equity,Ferroglobe PLC (GSM),GSM
NASDAQ Equity,"FFBW, Inc. (FFBW)",FFBW
NASDAQ Equity,Fibrocell Science Inc. (FCSC),FCSC
NASDAQ Equity,"FibroGen, Inc (FGEN)",FGEN
NASDAQ Equity,"Fidelity D & D Bancorp, Inc. (FDBC)",FDBC
NASDAQ Equity,Fidelity Nasdaq Composite Index Tracking Stock (ONEQ),ONEQ
NASDAQ Equity,Fidelity Southern Corporation (LION),LION
NASDAQ Equity,Fidus Investment Corporation (FDUS),FDUS
NASDAQ Equity,Fidus Investment Corporation (FDUSL),FDUSL
NASDAQ Equity,Fidus Investment Corporation (FDUSZ),FDUSZ
NASDAQ Equity,"Fiesta Restaurant Group, Inc. (FRGI)",FRGI
NASDAQ Equity,Fifth Third Bancorp (FITB),FITB
NASDAQ Equity,Fifth Third Bancorp (FITBI),FITBI
NASDAQ Equity,"Financial Institutions, Inc. (FISI)",FISI
NASDAQ Equity,Finisar Corporation (FNSR),FNSR
NASDAQ Equity,"Finjan Holdings, Inc. (FNJN)",FNJN
NASDAQ Equity,FinTech Acquisition Corp. III (FTAC),FTAC
NASDAQ Equity,FinTech Acquisition Corp. III (FTACU),FTACU
NASDAQ Equity,FinTech Acquisition Corp. III (FTACW),FTACW
NASDAQ Equity,"FireEye, Inc. (FEYE)",FEYE
NASDAQ Equity,First Bancorp (FBNC),FBNC
NASDAQ Equity,"First Bancorp, Inc (ME) (FNLC)",FNLC
NASDAQ Equity,First Bank (FRBA),FRBA
NASDAQ Equity,First Busey Corporation (BUSE),BUSE
NASDAQ Equity,"First Business Financial Services, Inc. (FBIZ)",FBIZ
NASDAQ Equity,"First Capital, Inc. (FCAP)",FCAP
NASDAQ Equity,First Choice Bancorp (FCBP),FCBP
NASDAQ Equity,"First Citizens BancShares, Inc. (FCNCA)",FCNCA
NASDAQ Equity,"First Community Bankshares, Inc. (FCBC)",FCBC
NASDAQ Equity,First Community Corporation (FCCO),FCCO
NASDAQ Equity,First Defiance Financial Corp. (FDEF),FDEF
NASDAQ Equity,First Financial Bancorp. (FFBC),FFBC
NASDAQ Equity,"First Financial Bankshares, Inc. (FFIN)",FFIN
NASDAQ Equity,First Financial Corporation Indiana (THFF),THFF
NASDAQ Equity,"First Financial Northwest, Inc. (FFNW)",FFNW
NASDAQ Equity,First Foundation Inc. (FFWM),FFWM
NASDAQ Equity,"First Guaranty Bancshares, Inc. (FGBI)",FGBI
NASDAQ Equity,"First Hawaiian, Inc. (FHB)",FHB
NASDAQ Equity,First Internet Bancorp (INBK),INBK
NASDAQ Equity,First Internet Bancorp (INBKL),INBKL
NASDAQ Equity,First Internet Bancorp (INBKZ),INBKZ
NASDAQ Equity,"First Interstate BancSystem, Inc. (FIBK)",FIBK
NASDAQ Equity,First Merchants Corporation (FRME),FRME
NASDAQ Equity,"First Mid Bancshares, Inc. (FMBH)",FMBH
NASDAQ Equity,"First Midwest Bancorp, Inc. (FMBI)",FMBI
NASDAQ Equity,First National Corporation (FXNC),FXNC
NASDAQ Equity,First Northwest Bancorp (FNWB),FNWB
NASDAQ Equity,"First Savings Financial Group, Inc. (FSFG)",FSFG
NASDAQ Equity,"First Solar, Inc. (FSLR)",FSLR
NASDAQ Equity,First Trust Alternative Absolute Return Strategy ETF (FAAR),FAAR
NASDAQ Equity,First Trust Asia Pacific Ex-Japan AlphaDEX Fund (FPA),FPA
NASDAQ Equity,First Trust BICK Index Fund (BICK),BICK
NASDAQ Equity,First Trust Brazil AlphaDEX Fund (FBZ),FBZ
NASDAQ Equity,First Trust BuyWrite Income ETF (FTHI),FTHI
NASDAQ Equity,First Trust California Municipal High income ETF (FCAL),FCAL
NASDAQ Equity,First Trust Canada AlphaDEX Fund (FCAN),FCAN
NASDAQ Equity,First Trust Capital Strength ETF (FTCS),FTCS
NASDAQ Equity,First Trust CEF Income Opportunity ETF (FCEF),FCEF
NASDAQ Equity,First Trust China AlphaDEX Fund (FCA),FCA
NASDAQ Equity,First Trust Cloud Computing ETF (SKYY),SKYY
NASDAQ Equity,First Trust Developed International Equity Select ETF (RNDM),RNDM
NASDAQ Equity,First Trust Developed Markets Ex-US AlphaDEX Fund (FDT),FDT
NASDAQ Equity,First Trust Developed Markets ex-US Small Cap AlphaDEX Fund (FDTS),FDTS
NASDAQ Equity,First Trust Dorsey Wright Dynamic Focus 5 ETF (FVC),FVC
NASDAQ Equity,First Trust Dorsey Wright Focus 5 ETF (FV),FV
NASDAQ Equity,First Trust Dorsey Wright International Focus 5 ETF (IFV),IFV
NASDAQ Equity,First Trust Dorsey Wright Momentum & Dividend ETF (DDIV),DDIV
NASDAQ Equity,First Trust Dorsey Wright Momentum & Low Volatility ETF (DVOL),DVOL
NASDAQ Equity,First Trust Dorsey Wright Momentum & Value ETF (DVLU),DVLU
NASDAQ Equity,First Trust Dorsey Wright People&#39;s Portfolio ETF (DWPP),DWPP
NASDAQ Equity,First Trust DorseyWright DALI 1 ETF (DALI),DALI
NASDAQ Equity,First Trust Dow Jones International Internet ETF (FDNI),FDNI
NASDAQ Equity,First Trust Emerging Markets AlphaDEX Fund (FEM),FEM
NASDAQ Equity,First Trust Emerging Markets Equity Select ETF (RNEM),RNEM
NASDAQ Equity,First Trust Emerging Markets Local Currency Bond ETF (FEMB),FEMB
NASDAQ Equity,First Trust Emerging Markets Small Cap AlphaDEX Fund (FEMS),FEMS
NASDAQ Equity,First Trust Enhanced Short Maturity ETF (FTSM),FTSM
NASDAQ Equity,First Trust Europe AlphaDEX Fund (FEP),FEP
NASDAQ Equity,First Trust Eurozone AlphaDEX ETF (FEUZ),FEUZ
NASDAQ Equity,First Trust Germany AlphaDEX Fund (FGM),FGM
NASDAQ Equity,First Trust Global Tactical Commodity Strategy Fund (FTGC),FTGC
NASDAQ Equity,First Trust Hedged BuyWrite Income ETF (FTLB),FTLB
NASDAQ Equity,First Trust High Yield Long/Short ETF (HYLS),HYLS
NASDAQ Equity,First Trust Hong Kong AlphaDEX Fund (FHK),FHK
NASDAQ Equity,First Trust India Nifty 50 Equal Weight ETF (NFTY),NFTY
NASDAQ Equity,First Trust Indxx Global Agriculture ETF (FTAG),FTAG
NASDAQ Equity,First Trust Indxx Global Natural Resources Income ETF (FTRI),FTRI
NASDAQ Equity,First Trust Indxx Innovative Transaction & Process ETF (LEGR),LEGR
NASDAQ Equity,First Trust Indxx NextG ETF (NXTG),NXTG
NASDAQ Equity,First Trust International Equity Opportunities ETF (FPXI),FPXI
NASDAQ Equity,First Trust IPOX Europe Equity Opportunities ETF (FPXE),FPXE
NASDAQ Equity,First Trust Japan AlphaDEX Fund (FJP),FJP
NASDAQ Equity,First Trust Large Cap Core AlphaDEX Fund (FEX),FEX
NASDAQ Equity,First Trust Large Cap Growth AlphaDEX Fund (FTC),FTC
NASDAQ Equity,First Trust Large Cap US Equity Select ETF (RNLC),RNLC
NASDAQ Equity,First Trust Large Cap Value AlphaDEX Fund (FTA),FTA
NASDAQ Equity,First Trust Latin America AlphaDEX Fund (FLN),FLN
NASDAQ Equity,First Trust Low Duration Opportunities ETF (LMBS),LMBS
NASDAQ Equity,First Trust Low Duration Strategic Focus ETF (LDSF),LDSF
NASDAQ Equity,First Trust Managed Municipal ETF (FMB),FMB
NASDAQ Equity,First Trust Mega Cap AlphaDEX Fund (FMK),FMK
NASDAQ Equity,First Trust Mid Cap Core AlphaDEX Fund (FNX),FNX
NASDAQ Equity,First Trust Mid Cap Growth AlphaDEX Fund (FNY),FNY
NASDAQ Equity,First Trust Mid Cap US Equity Select ETF (RNMC),RNMC
NASDAQ Equity,First Trust Mid Cap Value AlphaDEX Fund (FNK),FNK
NASDAQ Equity,First Trust Multi Cap Growth AlphaDEX Fund (FAD),FAD
NASDAQ Equity,First Trust Multi Cap Value AlphaDEX Fund (FAB),FAB
NASDAQ Equity,First Trust Multi-Asset Diversified Income Index Fund (MDIV),MDIV
NASDAQ Equity,First Trust Municipal CEF Income Opportunity ETF (MCEF),MCEF
NASDAQ Equity,First Trust Municipal High Income ETF (FMHI),FMHI
NASDAQ Equity,First Trust NASDAQ ABA Community Bank Index Fund (QABA),QABA
NASDAQ Equity,First Trust Nasdaq Artificial Intelligence and Robotics ETF (ROBT),ROBT
NASDAQ Equity,First Trust Nasdaq Bank ETF (FTXO),FTXO
NASDAQ Equity,First Trust NASDAQ Clean Edge Green Energy Index Fund (QCLN),QCLN
NASDAQ Equity,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index  (GRID),GRID
NASDAQ Equity,First Trust NASDAQ Cybersecurity ETF (CIBR),CIBR
NASDAQ Equity,First Trust Nasdaq Food & Beverage ETF (FTXG),FTXG
NASDAQ Equity,First Trust NASDAQ Global Auto Index Fund (CARZ),CARZ
NASDAQ Equity,First Trust Nasdaq Oil & Gas ETF (FTXN),FTXN
NASDAQ Equity,First Trust Nasdaq Pharmaceuticals ETF (FTXH),FTXH
NASDAQ Equity,First Trust Nasdaq Retail ETF (FTXD),FTXD
NASDAQ Equity,First Trust Nasdaq Semiconductor ETF (FTXL),FTXL
NASDAQ Equity,First Trust NASDAQ Technology Dividend Index Fund (TDIV),TDIV
NASDAQ Equity,First Trust Nasdaq Transportation ETF (FTXR),FTXR
NASDAQ Equity,First Trust NASDAQ-100 Equal Weighted Index Fund (QQEW),QQEW
NASDAQ Equity,First Trust NASDAQ-100 Ex-Technology Sector Index Fund (QQXT),QQXT
NASDAQ Equity,First Trust NASDAQ-100- Technology Index Fund (QTEC),QTEC
NASDAQ Equity,First Trust RBA American Industrial Renaissance ETF (AIRR),AIRR
NASDAQ Equity,First Trust Rising Dividend Achievers ETF (RDVY),RDVY
NASDAQ Equity,First Trust RiverFront Dynamic Asia Pacific ETF (RFAP),RFAP
NASDAQ Equity,First Trust RiverFront Dynamic Developed International ETF (RFDI),RFDI
NASDAQ Equity,First Trust RiverFront Dynamic Emerging Markets ETF (RFEM),RFEM
NASDAQ Equity,First Trust RiverFront Dynamic Europe ETF (RFEU),RFEU
NASDAQ Equity,First Trust S&P International Dividend Aristocrats ETF (FID),FID
NASDAQ Equity,First Trust Senior Loan Fund ETF (FTSL),FTSL
NASDAQ Equity,First Trust Small Cap Core AlphaDEX Fund (FYX),FYX
NASDAQ Equity,First Trust Small Cap Growth AlphaDEX Fund (FYC),FYC
NASDAQ Equity,First Trust Small Cap US Equity Select ETF (RNSC),RNSC
NASDAQ Equity,First Trust Small Cap Value AlphaDEX Fund (FYT),FYT
NASDAQ Equity,First Trust SMID Cap Rising Dividend Achievers ETF (SDVY),SDVY
NASDAQ Equity,First Trust South Korea AlphaDEX Fund (FKO),FKO
NASDAQ Equity,First Trust SSI Strategic Convertible Securities ETF (FCVT),FCVT
NASDAQ Equity,First Trust Strategic Income ETF (FDIV),FDIV
NASDAQ Equity,First Trust Switzerland AlphaDEX Fund (FSZ),FSZ
NASDAQ Equity,First Trust TCW Opportunistic Fixed Income ETF (FIXD),FIXD
NASDAQ Equity,First Trust Total US Market AlphaDEX ETF (TUSA),TUSA
NASDAQ Equity,First Trust United Kingdom AlphaDEX Fund (FKU),FKU
NASDAQ Equity,First Trust US Equity Dividend Select ETF (RNDV),RNDV
NASDAQ Equity,First United Corporation (FUNC),FUNC
NASDAQ Equity,"First US Bancshares, Inc. (FUSB)",FUSB
NASDAQ Equity,"First Western Financial, Inc. (MYFW)",MYFW
NASDAQ Equity,"FirstCash, Inc. (FCFS)",FCFS
NASDAQ Equity,"Firsthand Technology Value Fund, Inc. (SVVC)",SVVC
NASDAQ Equity,FirstService Corporation (FSV),FSV
NASDAQ Equity,"Fiserv, Inc. (FISV)",FISV
NASDAQ Equity,"Five Below, Inc. (FIVE)",FIVE
NASDAQ Equity,"Five Prime Therapeutics, Inc. (FPRX)",FPRX
NASDAQ Equity,Five Star Senior Living Inc. (FVE),FVE
NASDAQ Equity,"Five9, Inc. (FIVN)",FIVN
NASDAQ Equity,Flex Ltd. (FLEX),FLEX
NASDAQ Equity,"Flex Pharma, Inc. (FLKS)",FLKS
NASDAQ Equity,"Flexion Therapeutics, Inc. (FLXN)",FLXN
NASDAQ Equity,FlexShares Credit-Scored US Corporate Bond Index Fund (SKOR),SKOR
NASDAQ Equity,FlexShares Credit-Scored US Long Corporate Bond Index Fund (LKOR),LKOR
NASDAQ Equity,FlexShares Disciplined Duration MBS Index Fund (MBSD),MBSD
NASDAQ Equity,FlexShares Real Assets Allocation Index Fund (ASET),ASET
NASDAQ Equity,FlexShares STOXX Global ESG Impact Index Fund (ESGG),ESGG
NASDAQ Equity,FlexShares STOXX US ESG Impact Index Fund (ESG),ESG
NASDAQ Equity,FlexShares US Quality Large Cap Index Fund (QLC),QLC
NASDAQ Equity,"FlexShopper, Inc. (FPAY)",FPAY
NASDAQ Equity,"FlexShopper, Inc. (FPAYW)",FPAYW
NASDAQ Equity,"Flexsteel Industries, Inc. (FLXS)",FLXS
NASDAQ Equity,"FLIR Systems, Inc. (FLIR)",FLIR
NASDAQ Equity,"Fluent, Inc. (FLNT)",FLNT
NASDAQ Equity,Fluidigm Corporation (FLDM),FLDM
